wikipedia_title,mentioned_in_agent,possible_agent_norm,match_score
Thomas Oden,Systematic theology,"hyde, thomas",0.8333
Albert Kapr,Johannes Gutenberg,"rapp, albert",0.8333
James Watt,18th-century French literature,"watson, james",0.8333
Otto Mencke,"wichmannshausen, johann christoph","nückel, otto",0.8333
Leiden University Library,De Legibus,cambridge university library,0.8302
Johann Joachim Winckelmann,virgil,"bellermann, johann joachim",0.8302
Giovanni Battista Ciolina,"liebermann, max","palatino, giovanni battista",0.8302
Giovanni Battista Tiepolo,"tasso, torquato","palatino, giovanni battista",0.8302
Talk:Johann Caspar Scheuchzer,"scheuchzer, john gaspar","scheuchzer, john gaspar",0.8302
Johann Heinrich Blendinger,יום טוב ליפמן,"hottinger, johann heinrich",0.8302
Georg Christoph Wagenseil,"grétry, andré ernest modeste","wagenseil, johann christoph",0.8302
Talk:Leopold von Sacher-Masoch,"sacher-masoch, leopold","sacher-masoch, leopold",0.8302
Giovanni Battista Falcieri,"disraeli, benjamin","rasario, giovanni battista",0.8302
Friedrich Schorlemmer,"frisch, max","schiller, friedrich",0.8293
Francisco de Almeida,Diogo Lopes de Sequeira,"toledo, francisco de",0.8293
Francisco de Lacerda,Diogo Lopes de Sequeira,"toledo, francisco de",0.8293
Jean-Baptiste Say,"constant, benjamin","rousseau, jean-baptiste",0.8293
Intertype Corporation,Wood engraving,monotype corporation,0.8293
Louis de Montfort,eusebius,"la maisonfort, louis de",0.8293
Johann Georg Mentzel,"lund, johann","nissel, johann georg",0.8293
Jean-François Cars,"boucher, françois","bernard, jean-françois",0.8293
Alexandre Martin,"lamartine, alphonse de","martin, pierre-alexandre",0.8293
Giambattista Pittoni,Louvre,"bodoni, giambattista",0.8293
Benito Albino Mussolini,"mussolini, benito","mussolini, benito",0.8293
Johann Andreas Stein,Wolfgang Amadeus Mozart,"danz, johann andreas",0.8293
Ariane de Rothschild,"rothschild, henri de","rothschild, henri de",0.8293
Evelyn de Rothschild,"rothschild, henri de","rothschild, henri de",0.8293
Nadine de Rothschild,"rothschild, henri de","rothschild, henri de",0.8293
Francisco de Quevedo,"lemos, pedro fernández de castro","toledo, francisco de",0.8293
Château de Montaigne,"montaigne, michel de","montaigne, michel de",0.8293
Johannes van Mildert,Peter Paul Rubens,"müller, johannes von",0.8293
Johann Georg Wenrich,"steinschneider, moritz","abicht, johann georg",0.8293
Charles Bonnet,"wollstonecraft, mary","abbot, charles",0.8276
François Rude,"fichte, johann gottlieb","naudé, françois",0.8276
William Alwyn,cambridge university library,"hayley, william",0.8276
Francis Galton,"darwin, charles","bacon, francis",0.8276
Andreas Berlin,"linné, carl von","beyer, andreas",0.8276
Daniel Rolander,"linné, carl von","axner, daniel",0.8276
Daniel Solander,"linné, carl von","axner, daniel",0.8276
Thomas Wolsey,List of Shakespearean characters (A–K),"bromley, thomas",0.8276
Charles Barry,House of Commons of the United Kingdom,"warren, charles",0.8276
Geoffrey Elton,History of the United Kingdom,"west, geoffrey",0.8276
Max Dienemann,Reform Judaism,"liebermann, max",0.8276
Heinrich Mann,"frisch, max","braun, heinrich",0.8276
Hermann Kesten,"frisch, max","hesse, hermann",0.8276
Charles Hodge,"oecolampadius, johann","nodier, charles",0.8276
Charles Deulin,"perrault, charles","eisen, charles",0.8276
Marcus Curtius,"perrault, charles",marcus aurelius,0.8276
Charles Bémont,"thou, jacques-auguste de","abbot, charles",0.8276
Pierre Jeannin,"thou, jacques-auguste de","jannet, pierre",0.8276
Thomas Carte,"thou, jacques-auguste de","christie, thomas",0.8276
William Thynne,"speght, thomas","thorn, william",0.8276
Charles River,The Sound and the Fury,"nodier, charles",0.8276
Robert Wiene,The Sound and the Fury,"estienne, robert",0.8276
Claude Dagens,"salvandy, n.-a. de","bauwens, claude",0.8276
Simon Bernard,"salvandy, n.-a. de","salomon, bernard",0.8276
Richard Pace,John Donne,"pococke, richard",0.8276
Richard Rolle,eusebius,"oehler, richard",0.8276
William Holder,Gottfried Keller (musician),"thorn, william",0.8276
Pierre Naville,"miró, joan","gilles, pierre",0.8276
Luigi Galvani,"alembert, jean le rond d'","alamanni, luigi",0.8276
Nicolas Baudin,"alembert, jean le rond d'","rapin, nicolas",0.8276
Thomas Corser,"huth, henry","cranmer, thomas",0.8276
Thomas Beecham,"walter, bruno","creech, thomas",0.8276
Charles Lipson,Plagiarism,"eisen, charles",0.8276
William Bedell,"modena, leone","sewel, william",0.8276
William Peyton,Sanusiyya,"thorn, william",0.8276
Maurice Samuels,Alfred Dreyfus,"saxe, maurice",0.8276
Charles Wager,"egmont, john perceval","warren, charles",0.8276
William Juxon,"egmont, john perceval","caxton, william",0.8276
Colen Campbell,"palladio, andrea","campbell, john",0.8276
Francis Crane,William Morris,"duncan, francis",0.8276
Thomas Cole,"gautier, théophile","corneille, thomas",0.8276
Louis Servin,"l'estoile, pierre de","boissevin, louis",0.8276
François Tomb,Roman Kingdom,"pomey, françois",0.8276
Henri Pirenne,History of Belgium,"estienne, henri",0.8276
Francis Danby,victoria and albert museum,"duncan, francis",0.8276
Agostino Tassi,"lorrain, claude","dati, agostino",0.8276
Charles Dance,"kitchener, horatio herbert kitchener","darwin, charles",0.8276
Konrad Adenauer,George Canning,"bauer, konrad",0.8276
A. W. Lawrence,Ancient Roman architecture,"lawrence, d. h",0.8276
Thomas Browne,Index Librorum Prohibitorum,"bowdler, thomas",0.8276
Carlo Pareschi,"mussolini, benito","paschal, carlo",0.8276
T. E. Lawrence,palestine exploration fund,"lawrence, d. h",0.8276
André Deutsch,List of books banned by governments,"delpeuch, andré",0.8276
Nicolas Pineau,"mariette, jean","rapin, nicolas",0.8276
Stephen Byers,"jenkinson, charles","bonner, stephen",0.8276
Thomas Morley,English poetry,"bromley, thomas",0.8276
Richard Neile,"bury, richard de","steele, richard",0.8276
William Cosyn,"bury, richard de","caxton, william",0.8276
William Melton,"bury, richard de","thorn, william",0.8276
William Witham,"bury, richard de","white, william",0.8276
William Strang,"beardsley, aubrey","thorn, william",0.8276
Nicolas Steno,"maillet, benoît de","sanson, nicolas",0.8276
Charles Boyer,"périer, etienne","nodier, charles",0.8276
Richard Heber,Book collecting,"oehler, richard",0.8276
William Osler,Book collecting,"bowyer, william",0.8276
Francis Adorno,"bellarmino, roberto francesco romolo","bacon, francis",0.8276
Gaius Laelius,"lucilius, gaius","lucilius, gaius",0.8276
Robert Elsie,Sabbatai Zevi,"estienne, robert",0.8276
Pietro Riario,bessarion,"aretino, pietro",0.8276
William Wasey,"wotton, edward","hayley, william",0.8276
Jules Renouard,"peignot, gabriel","renouard, paul",0.8276
David Schnell,Hochschule für Grafik und Buchkunst Leipzig,"hoeschel, david",0.8276
Jonathan Wild,"gay, john","swift, jonathan",0.8276
Paul Rabaut,"rabaut, jean-paul","rabaut, jean-paul",0.8276
Raymond Janin,History of Istanbul,"jordan, raymond",0.8276
William Hague,"castlereagh, robert stewart","hayley, william",0.8276
John Fielding,"fielding, henry","fielding, henry",0.8276
Thomas Garnet,"buonanni, filippo","parnell, thomas",0.8276
Richard Peers,"reid, william","oehler, richard",0.8276
William Tufton,"reid, william","thorn, william",0.8276
Charles Manry,"fournier, edouard","martin, charles",0.8276
August Volberg,August (name),"zoller, august",0.8276
Hermann Gunkel,Biblical criticism,"ranke, hermann",0.8276
Agostino Bassi,History of medicine,"dati, agostino",0.8276
Edward Colston,"chatterton, thomas","wotton, edward",0.8276
Gaetano Bedini,catholic church. congregatio de propaganda fide,"cenni, gaetano",0.8276
John Reuchlin,"galatino, pietro","reuchlin, anton",0.8276
Crawford Award,Alchemy,"crawford, adair",0.8276
Andreas Felder,Austria,"beyer, andreas",0.8276
Thomas Müntzer,"montaigne, michel de","murner, thomas",0.8276
Pierre Clastres,Ethnology,"coste, pierre",0.8276
B. H. Friedman,"heine, heinrich","friedman, d. a",0.8276
Elijah ha-Levi,"מזרחי, אליהו בן אברהם","levita, elijah",0.8276
Charles Ewart,Battle of Waterloo,"martin, charles",0.8276
Haim ben Asher,"פניז'יל, אליהו משה",hai ben sherira,0.8276
Gerard Horenbout,"dürer, albrecht","hoet, gerard",0.8276
Daniel Seghers,"huygens, constantijn","gerdes, daniel",0.8276
Charles Hayter,"byron, george gordon byron","sayle, charles",0.8276
Richard Pynson,"chaucer, geoffrey","simon, richard",0.8276
Pierre Coustant,maurists,"coste, pierre",0.8276
Alexander Men,russkaia pravoslavnaia tserkov,"pope, alexander",0.8276
Richard Marson,"hawkesworth, john","simon, richard",0.8276
Charles Masson,british museum,"malot, charles",0.8276
Upton Sinclair,Occupational disease,"sinclair, john",0.8276
Charles Wesley,Eucharist,"sayle, charles",0.8276
Joseph Ritson,"lydgate, john","addison, joseph",0.8276
Johannes Rump,statens museum for kunst (denmark),"braun, johannes",0.8276
Charles Aubert,Naval warfare of World War I,"abbot, charles",0.8276
Thomas Harmer,"chardin, john","cranmer, thomas",0.8276
Hermann Dessau,Historia Augusta,"hesse, hermann",0.8276
William Swayne,Robert Sanderson (theologian),"sewel, william",0.8276
Robert Ridley,"vergil, polydore","bridges, robert",0.8276
Charles Sedley,Erotic literature,"dilly, charles",0.8276
Samuel Maunder,"sturm, johann christophorus","mearne, samuel",0.8276
Heinrich Fink,"schleiermacher, friedrich","heine, heinrich",0.8276
Johannes Schott,Ulrich von Hutten,"hop, johannes",0.8276
Jacques Coeur,Louis XI,"necker, jacques",0.8276
Charles Peirce,Logic,"eisen, charles",0.8276
Thomas Pangle,Brit milah,"parnell, thomas",0.8276
Andreas Baader,"sartre, jean-paul","beyer, andreas",0.8276
Giovanni Bona,"cousin, louis","nanni, giovanni",0.8276
Marcus Junius Brutus,"caesar, julius","justinus, marcus junianus",0.8261
William Emanuel Richardson,"beck, james m","richardson, william",0.8261
Johann Georg Steigerthal,"kaempfer, engelbert","seiller, johann georg",0.8261
Johann Eisenmenger,"eisenmenger, johann andreas","eisenmenger, johann andreas",0.8261
Johann Heinrich Ernesti,"ernesti, johann august","waser, johann heinrich",0.8261
Columbia University Press,"linné, carl von",cambridge university press,0.8235
Francesco Chiesa,"frisch, max","turchi, francesco",0.8235
Jean de Joinville,Prester John,"bonilla, jean de",0.8235
Anthonie Heinsius,"basnage, jacques","heinsius, daniel",0.8235
Georges Lefebvre,"necker, jacques","lemierre, georges",0.8235
James Mackintosh,"constant, benjamin","lackington, james",0.8235
Benjamin Salant,"ילין, יהושע בן דוד","constant, benjamin",0.8235
Alexander Balas,"Acre, Israel","beatson, alexander",0.8235
William Moreton,"pococke, richard","robertson, william",0.8235
Christian music,Christianity in the 1st century,"deutsch, christian",0.8235
Manuel de Falla,The Sound and the Fury,"almeida, manuel de",0.8235
Johannes Vermeer,Art forgery,"lomeier, johannes",0.8235
Jean Puy,"braque, georges",jean paul,0.8235
Johann Gottfried Schicht,"walter, bruno","eichhorn, johann gottfried",0.8235
Johannes Thedens,nederlandsche oost-indische compagnie,"leusden, johannes",0.8235
Alexander Braun,theophrastus,"beatson, alexander",0.8235
François Sureau,académie française,"chauveau, françois",0.8235
Thurgood Marshall,"beck, james m","marshall, harold",0.8235
Georges Lemaître,Antichrist,"lemierre, georges",0.8235
Thomas Grenville,"egmont, john perceval","corneille, thomas",0.8235
Abuna Takla Haymanot,Ethiopian Orthodox Tewahedo Church,takla haymanot,0.8235
Charles Winston,William Morris,"jenkinson, charles",0.8235
Francis Eginton,William Morris,"jenkinson, francis",0.8235
Christian heresy,justin,"gerson, christian",0.8235
Jacques Godechot,Bastille,"godefroy, jacques",0.8235
Francesco Andreini,Commedia dell'arte,"redi, francesco",0.8235
François Hollande,Louvre,"hotman, françois",0.8235
Giovanni Bononcini,"haym, nicola francesco","nanni, giovanni",0.8235
Christopher Page,guillaume,"pitt, christopher",0.8235
Johannes Alanus,guillaume,"adelphus, johannes",0.8235
Abraham de Boton,Mishneh Torah,"hondt, abraham de",0.8235
Bartolomeo Bon,victoria and albert museum,"soliani, bartolomeo",0.8235
Carl Ehrenstein,"ehrenstein, albert","ehrenstein, albert",0.8235
Christian History,History of Christianity,"stock, christian",0.8235
Egyptian Exploration Fund,palestine exploration fund,palestine exploration fund,0.8235
Giovanni Contarini,"mariette, jean","nanni, giovanni",0.8235
Benjamin Balint,"brod, max","franklin, benjamin",0.8235
Michael Gottlieb Agnethler,"linné, carl von","hansch, michael gottlieb",0.8235
Alfonso Lombardi,"aretino, pietro","lombardi, antonio",0.8235
Heinrich Schweiger,"burgtheater (vienna, austria)","heine, heinrich",0.8235
Corneille Heymans,Belgium,"corneille, thomas",0.8235
Martin V,alfonso,"martin, p",0.8235
John Lorne Campbell,"macpherson, james","campbell, john",0.8235
Johannes Marbach,"bucer, martin","marck, johannes à",0.8235
Abraham ben Sherira,saʻadia ben joseph,hai ben sherira,0.8235
Christian ethic,Ten Commandments,"deutsch, christian",0.8235
Thomas Brand Hollis,"hollis, thomas","hollis, thomas",0.8235
Charles Lalemant,Jesuits,"davenant, charles",0.8235
Johannes Walaeus,"bartholin, thomas","leusden, johannes",0.8235
Brandeis University Press,Zionism,cambridge university press,0.8235
François Déroche,Quran,"boucher, françois",0.8235
François Massieu,Heat,"grasset, françois",0.8235
Guillaume Duprat,Pierre Belon,"debure, guillaume",0.8235
Filippo Argelati,"muratori, lodovico antonio","garbelli, filippo",0.8235
Geoffrey Hartman,Poetry,"wakeman, geoffrey",0.8235
Christian Quarter,Christianity,"garve, christian",0.8235
William Heberden,hippocrates,"shepherd, william",0.8235
Thomas Lounsbury,"chaucer, geoffrey","spilsbury, thomas",0.8235
Johann Gutenberg,Laurens Janszoon Coster,"rosenberg, johann",0.8235
Wolfgang Schmieder,"forkel, johann nikolaus","seber, wolfgang",0.8235
Pierre Martinius,"mercier, jean","martinius, petrus",0.8235
Charles Jennens,Deism,"jenkinson, charles",0.8235
Christian Deism,Deism,"deutsch, christian",0.8235
Albrecht Altdorfer,Passion of Jesus,"dürer, albrecht",0.8235
Saint Christopher,statens museum for kunst (denmark),"pitt, christopher",0.8235
Joachim le Grand,"lobo, jeronimo","le grand, joachim",0.8235
Heinrich Frauenlob,"wagenseil, johann christoph","braun, heinrich",0.8235
Antisemitic League,History of the Jews in Germany,hanseatic league,0.8235
François Bosquet,"martí, ramon","boucher, françois",0.8235
Petrus Galatinus,"martí, ramon","vignalius, petrus",0.8235
Robert Anton Wilson,"jarry, alfred","wilson, robert",0.8235
Alfonso IX,Reconquista,alfonso,0.8235
Christian Europe,Reconquista,"gerson, christian",0.8235
Gen Paul,Expressionism,jean paul,0.8235
Christian Scriver,"glass, salomon","garve, christian",0.8235
Johann Hülsemann,"glass, salomon","habermann, johann",0.8235
Charles Landesman,"descartes, rené","leandre, charles",0.8235
Johann Friedrich Gleditsch,"weidmann, moritz georg","gmelin, johann friedrich",0.8235
Max Lilienthal,"סלונימסקי, חיים זליג בן יעקב","lilienthal, michael",0.8235
Biblioteca Nacional de España,bibliothèque nationale de france,biblioteca nacional (spain),0.8214
Antoni van Leeuwenhoekziekenhuis,"leeuwenhoek, antoni van","leeuwenhoek, antoni van",0.8214
Alexander Peloplaton,boethius,"beatson, alexander",0.8205
Johann Georg Gmelin,"linné, carl von","hager, johann georg",0.8205
Johann Jakob Bodmer,"pestalozzi, johann heinrich","bauer, johann jacob",0.8205
Journal des Goncourt,"goncourt, jules de","goncourt, jules de",0.8205
Francisco Ballesteros,Peninsular War,"valles, francisco",0.8205
Friedrich Schelling,"jacobi, friedrich heinrich","schiller, friedrich",0.8205
Gottlieb Fichte,"jacobi, friedrich heinrich","fichte, johann gottlieb",0.8205
Franciscus Accursius,Franciscus,"junius, franciscus",0.8205
Franciscus Balduinus,Franciscus,"junius, franciscus",0.8205
Franciscus Costerus,Franciscus,"donatus, franciscus",0.8205
Hieronymus Bosch,reinhoud,"hornschuch, hieronymus",0.8205
Johann Georg Hamann,German literature,"hager, johann georg",0.8205
John Carrick Moore,"moore, james carrick","moore, james carrick",0.8205
Johann Georg Mozart,Wolfgang Amadeus Mozart,"hager, johann georg",0.8205
Petrus Johannes Blok,"hulsius, antonius","petrejus, johannes",0.8205
Giuseppe Montalenti,"vallisnieri, antonio","valentini, giuseppe",0.8205
Élie de Rothschild,"rothschild, henri de","rothschild, henri de",0.8205
Johannes van Horne,"swammerdam, jan","voorst, johannes van",0.8205
Talk:Édouard Fournier,"fournier, edouard","fournier, edouard",0.8205
Christian shrines,Marian apparition,"reineccius, christian",0.8205
Johann Jakob Fugger,"lauro, pietro","bauer, johann jacob",0.8205
Johann Jacob Reiske,"eichhorn, johann gottfried","engel, johann jacob",0.8205
Friedrich Hielscher,"savigny, friedrich karl von","schiller, friedrich",0.8205
William A. Clark,"clark, william andrews","clark, william andrews",0.8205
William Govett Romaine,"romaine, william","romaine, william",0.8205
Georg Wilhelm Pabst,paracelsus,"zapf, georg wilhelm",0.8205
Heinrich von Brühl,Karl Heinrich von Hoym,"brandt, heinrich von",0.8205
Heinrich von Bünau,Karl Heinrich von Hoym,"brandt, heinrich von",0.8205
Universitätsbibliothek Würzburg,Incunable,universitätsbibliothek leipzig,0.8197
John Mbiti,Tetragrammaton,"smith, john",0.8182
Louis XVI,"Louis, Dauphin of France (born 1729)","vitet, louis",0.8182
Carl Friedrich Gauss,History of Germany,"carus, friedrich august",0.8182
Catherine Nay,"necker, jacques",catherine,0.8182
John Clare,"constant, benjamin","colet, john",0.8182
William Andrew Chatto,Wood engraving,"clark, william andrews",0.8182
Roger Dod,"pococke, richard","godel, roger",0.8182
David Aune,"josephus, flavius","hume, david",0.8182
Jean-Baptiste Greuze,"severus, lucius septimius","rousseau, jean-baptiste",0.8182
Jean-François Lyotard,French philosophy,"bernard, jean-françois",0.8182
Gottfried Leibniz,Prince Eugene of Savoy,"leibniz, gottfried wilhelm",0.8182
Jean Cruppi,"guizot, françois","rapp, jean",0.8182
Marie Alphonse Bedeau,"guizot, françois","lamartine, alphonse de",0.8182
Tom Roberts,"liebermann, max","roberts, w",0.8182
John Hoole,"tasso, torquato","colet, john",0.8182
David Duke,Khazars,"hume, david",0.8182
Elias Howe,Embroidery,"howe, ellic",0.8182
John Ponet,"cranmer, thomas","colet, john",0.8182
John de Gray,"cranmer, thomas","ray, john",0.8182
Johann Baptist Wanhal,"grétry, andré ernest modeste","schels, johann baptist",0.8182
Johann Christian Bach,"grétry, andré ernest modeste","wolf, johann christian",0.8182
George Steptoe Washington,"washington, george","washington, george",0.8182
René Carol,René,"arcos, rené",0.8182
David Luke,"kleist, heinrich von","hume, david",0.8182
Paul Acker,"lépidis, clément","chack, paul",0.8182
Jean-Jacques Boissard,bessarion,"rousseau, jean-jacques",0.8182
Paul Heigl,Austrian National Library,"heitz, paul",0.8182
Alexandre de Rothschild,"rothschild, henri de","rothschild, henri de",0.8182
Ferdinand de Rothschild,"rothschild, henri de","rothschild, henri de",0.8182
St. Augustine,"plantin, christophe",augustine,0.8182
John Alen,Henry VIII,"selden, john",0.8182
Niccolò Guicciardini,Mathematics,"guicciardini, francesco",0.8182
David Frum,Zionism,"hume, david",0.8182
Gregory Nagy,homer,"gregory, g",0.8182
Jean-Baptiste Pigalle,"saxe, maurice","wilhelm, jean-baptiste",0.8182
Johann Heinrich Abicht,"abicht, johann georg","otho, johann heinrich",0.8182
David Bohm,"descartes, rené","hume, david",0.8182
John Kekes,Epistemology,"keats, john",0.8182
Christian Gottlob Neefe,"pestalozzi, johann heinrich","täubel, christian gottlob",0.8163
Template:William Shakespeare,List of Shakespearean characters (A–K),"shakespeare, william",0.8163
Category:William Shakespeare,List of Shakespearean characters (A–K),"shakespeare, william",0.8163
Christian Gottlob Heine,tibullus,"täubel, christian gottlob",0.8163
Johann Gottfried Schnabel,"frisch, max","hasse, johann gottfried",0.8163
Johann Ernst Hebenstreit,"גאנז, דוד בן שלמה","hebenstreit, johann paul",0.8163
Conseiller d'État (France),"arnauld, d'andilly, robert",france. conseil d'etat,0.8163
Johann Gottfried Auerbach,Prince Eugene of Savoy,"hasse, johann gottfried",0.8163
Christian Gotlob Mengel,"holberg, ludvig","täubel, christian gottlob",0.8163
François Louis Dedon-Duclos,Second Battle of Zurich,"dedon, francois louis",0.8163
Christian Gottlob Heyne,Greek mythology,"täubel, christian gottlob",0.8163
Saint Thomas Christians,ابن العبرى، غريغوريوس ابو الفرج،,"tychsen, thomas christian",0.8163
Johann Gottlieb Gleditsch,"murr, christoph gottlieb von","fichte, johann gottlieb",0.8163
Purdue University Press,"לידא, דוד בן אריה ליב",cambridge university press,0.8163
Giuseppe Luigi Assemani,"assemani, giuseppe simone","assemani, giuseppe simone",0.8163
Friedrich August Eckstein,"gesner, johann matthias","carus, friedrich august",0.8163
Christian August Vulpius,"goethe, johann wolfgang von","hausen, christian august",0.8163
Charles Lamb,"fichte, johann gottlieb","abbot, charles",0.8148
Daniel Fessler,"darwin, charles","fleg, daniel",0.8148
David Perrett,"darwin, charles","rettig, david",0.8148
Temple Scroll,Tetragrammaton,"scott, temple",0.8148
Thomas Merke,List of Shakespearean characters (A–K),"murner, thomas",0.8148
William Butts,List of Shakespearean characters (A–K),"pitt, william",0.8148
James Madison,Revolution,"watson, james",0.8148
Hermann Levi,"busch, wilhelm","adler, hermann",0.8148
British Army,House of Commons of the United Kingdom,british library,0.8148
Heiner Müller,"frisch, max","müller, peter",0.8148
Hermann Bahr,"frisch, max","adler, hermann",0.8148
Hermann Lenz,"frisch, max","adler, hermann",0.8148
Richard Mant,List of biblical commentaries,"simon, richard",0.8148
William Smits,List of biblical commentaries,"pitt, william",0.8148
Earl Warren,united states,"warren, charles",0.8148
William Tell,Prester John,"sewel, william",0.8148
Joseph Fesch,Battle of Novi (1799),"fouché, joseph",0.8148
Charles Joye,South Sea Company,"sayle, charles",0.8148
Samuel Greig,Russo-Turkish War (1768–1774),"koenig, samuel",0.8148
Herman Bavinck,"oecolampadius, johann","bang, herman",0.8148
Johann Fust,Printer's mark,"forster, johann",0.8148
Bruno Lanteri,"pascal, blaise","walter, bruno",0.8148
Charles Bray,"eliot, george","sayle, charles",0.8148
Daniel Featley,"lightfoot, john","fleg, daniel",0.8148
Francis Rous,"lightfoot, john","carco, francis",0.8148
Thomas Case,"lightfoot, john","cranmer, thomas",0.8148
Thomas Coleman,"lightfoot, john","mann, thomas",0.8148
Charles Ives,The Sound and the Fury,"doris, charles",0.8148
Pierre Boulez,The Sound and the Fury,"bayle, pierre",0.8148
Thomas Birch,"houbraken, jacobus","creech, thomas",0.8148
Pierre Magne,"salvandy, n.-a. de","jannet, pierre",0.8148
Jacques Davy,"du perron, jacques davy","dupuy, jacques",0.8148
Thomas Carew,John Donne,"creech, thomas",0.8148
Henri Arnauld,"arnauld, d'andilly, robert","beraud, henri",0.8148
Gaius Caesar,marcus aurelius,"caesar, julius",0.8148
Adam Sandler,Christmas music,"aigenler, adam",0.8148
Pierre Tal-Coat,"miró, joan","cot, pierre",0.8148
Walter Erben,"miró, joan","besant, walter",0.8148
Thomas Reid,"alembert, jean le rond d'","crenius, thomas",0.8148
Jean Wauquelin,Gothic book illustration,"raulin, jean",0.8148
Thomas Brasch,"wieland, christoph martin","walsh, thomas",0.8148
Joseph Lakanal,"guizot, françois","lang, joseph",0.8148
Paul Reynaud,"guizot, françois","renouard, paul",0.8148
Pierre Mauroy,"guizot, françois","emery, pierre",0.8148
Charles Léon,"Marie Louise, Duchess of Parma","malot, charles",0.8148
Robert Pilot,"liebermann, max","wilson, robert",0.8148
John Abel Smith,nederlandsche oost-indische compagnie,"smith, john",0.8148
William Minto,"pope, alexander","pitt, william",0.8148
Joseph McElroy,"leftwich, joseph","méry, joseph",0.8148
Charles Fahy,"beck, james m","sayle, charles",0.8148
A. Neubauer,יום טוב ליפמן,"neubauer, franz",0.8148
Bibliothèque Nationale,rené,bibliothèque nationale de france,0.8148
Louis Grégori,Alfred Dreyfus,"moréri, louis",0.8148
Reuven Rivlin,"ויצמן, חיים","rubin, reuven",0.8148
Henry Knighton,"wycliffe, john","light, henry",0.8148
Robert Burley,"wycliffe, john","burns, robert",0.8148
Henry Acland,"ruskin, john","holland, henry",0.8148
Jacques Guay,"boucher, françois","dupuy, jacques",0.8148
Edward Woore,William Morris,"wotton, edward",0.8148
William Law,John Sparrow (translator),"rawley, william",0.8148
William Guild,"row, john","reid, william",0.8148
William Moir,"row, john","thorn, william",0.8148
Pierre Curie,Panthéon,"guarin, pierre",0.8148
Michael Oren,"אשכול, לוי","denis, michael",0.8148
Henry Miller,"nerval, gérard de","mosnier, henry",0.8148
Pierre Merlou,Michel Chamillart,"emery, pierre",0.8148
Daniel Cramer,Rosicrucianism,"axner, daniel",0.8148
Thomas Langton,"cranmer, thomas","mann, thomas",0.8148
André Renard,History of Belgium,"pralard, andré",0.8148
Pierre Rode,"grétry, andré ernest modeste","laprade, pierre",0.8148
David Bosch,Christian theology,"hoeschel, david",0.8148
Joseph Boze,"mirabeau, honoré-gabriel de riqueti","bourdel, joseph",0.8148
Henry Cornish,Rye House Plot,"morris, henry",0.8148
John Ayloffe,Rye House Plot,"wycliffe, john",0.8148
Thomas Sprat,Rye House Plot,"speght, thomas",0.8148
Thomas Moore,"goldsmith, oliver","murner, thomas",0.8148
Thomas Macklin,cadell & davies,"mann, thomas",0.8148
Maurice Ravel,"klingsor, tristan","saxe, maurice",0.8148
Paul Tschackert,"hulsius, antonius","chack, paul",0.8148
Edmund Dell,"jenkinson, charles","castell, edmund",0.8148
Jacob Polley,English poetry,"knoller, jacob",0.8148
Paul Krugman,Classical economics,"bergmans, paul",0.8148
Pierre Daunou,Causes of the French Revolution,"dauze, pierre",0.8148
Maurice Scève,"salomon, bernard","saxe, maurice",0.8148
Martin Bodmer,Book collecting,"bucer, martin",0.8148
Pierre Moinot,"lépidis, clément","didot, pierre",0.8148
Joseph Trani,Sabbatai Zevi,"servan, joseph",0.8148
Paul Beisman,"barrault, jean-louis","bergmans, paul",0.8148
Jean Terrasson,"fénelon, françois de salignac de la mothe-","gerson, jean",0.8148
Robert Barron,"fénelon, françois de salignac de la mothe-","burns, robert",0.8148
Gerard Brandt,"vondel, joost van den","noodt, gerard",0.8148
Maurice Joly,"sue, eugène","leroy, maurice",0.8148
Julius Pflug,"bucer, martin","pollux, julius",0.8148
William Wake,"du pin, louis ellies","sewel, william",0.8148
Pierre Cassen,"siegfried, andré","coste, pierre",0.8148
Joseph Gaon,saʻadia ben joseph,"addison, joseph",0.8148
Edward Peyton,War of the Austrian Succession,"young, edward",0.8148
William Rutty,"chesterfield, philip dormer stanhope","pitt, william",0.8148
Henry Hatsell,"William Russell, Lord Russell","hallam, henry",0.8148
Pierre Bullet,académie royale d'architecture (france),"bayle, pierre",0.8148
Georges Izard,"nolhac, pierre de","kars, georges",0.8148
David Garnett,"lawrence, d. h","rettig, david",0.8148
Martin Secker,"lawrence, d. h","geier, martin",0.8148
Francis Vian,quintus,"bacon, francis",0.8148
Pierre Daniel,"vinet, elie","dauze, pierre",0.8148
Ernst Nolte,"mann, thomas","penzoldt, ernst",0.8148
Anthony Cooke,"bacon, francis","jack, anthony",0.8148
David Loades,Henry VIII,"clodius, david",0.8148
Ernst Steinitz,Algebra,"stern, ernst",0.8148
John Chadwick,Philology,"chardin, john",0.8148
John Harbison,Psalms,"pearson, john",0.8148
Martin Peretz,"peretz, isaac leib","opitz, martin",0.8148
Julius Campe,"heine, heinrich","caesar, julius",0.8148
Pierre Cluzel,"degas, edgar","dauze, pierre",0.8148
Pierre Desrey,Danse Macabre,"emery, pierre",0.8148
John Hollander,Poetry,"toland, john",0.8148
John Vanderlyn,Steel engraving,"evelyn, john",0.8148
Henri Béraldi,"du bosc, claude","beraud, henri",0.8148
Harvard University Library,"deinard, ephraim",cambridge university library,0.8148
Georges Alary,"richepin, jean","kars, georges",0.8148
