wikipedia_title,mentioned_in_agent,possible_agent_norm,match_score
Jean Jacques Rousseau,Juan Luis Vives,"rousseau, jean-jacques",0.9545
Louis Gabriel Suchet,Battle of Novi (1799),"suchet, louis-gabriel",0.9524
Benedict de Spinoza,"eliot, george","spinoza, benedictus de",0.9524
Claude Pierre Goujet,"fleury, claude","goujet, claude-pierre",0.9524
Jean-Henri Lederlin,"hemsterhuis, tiberius","lederlin, jean henri",0.95
Johannes Freinsheim,"bernegger, matthias","freinsheim, johann",0.9474
Max Brode,"brod, max","brod, max",0.9474
L'Académie Française,florian,académie française,0.9474
Johann Rudolph Schellenberg,"musäus, johann karl august","schellenberg, johann rudolf",0.9455
Guillaume Leblon,"le blond, guillaume","le blond, guillaume",0.9444
Battista Guarino,"manuzio, aldo","guarini, battista",0.9412
Christian Stocker,Austria,"stock, christian",0.9412
Jacob Houbraken,"rousset de missy, jean","houbraken, jacobus",0.9412
Giovanni Bernardo Rossi,יצחק בן ששת,"de rossi, giovanni bernardo",0.9412
Giovanni Battista Ciotti,"guarini, battista","casotti, giovanni battista",0.9412
François Fillon,"guizot, françois","villon, françois",0.9375
Pope Alexander I,ephraem,"pope, alexander",0.9375
Daniël Heinsius,Seneca the Younger,"heinsius, daniel",0.9375
Pope Alexander V,"gerson, jean","pope, alexander",0.9375
Giuseppe Parini,Pontifical Academy of Arcadia,"pasini, giuseppe",0.9375
Giuseppe Oriolo,"orioli, giuseppe","orioli, giuseppe",0.9375
Antoine Reuchlin,isaac ben kalonimus ben judah nathan ben solomon,"reuchlin, anton",0.9375
Isadore Epstein,"epstein, isidore","epstein, isidore",0.9375
Isaac Abrabanel,"אלשיך, משה בן חיים","abravanel, isaac",0.9375
Walter Hilton,eusebius,"hamilton, walter",0.9333
Bernard Leach,victoria and albert museum,"lecache, bernard",0.9333
Henry Estienne,Bible concordance,"estienne, henri",0.9333
Hermann Strack,Talmud,"struck, hermann",0.9333
Edward Garrick,"carrick, edward","carrick, edward",0.9333
Konrad Gessner,"camerarius, joachim","gessner, conrad",0.9333
Luigi Marrucci,"marracci, luigi","marracci, luigi",0.9333
Charles Tilly,Revolution,"dilly, charles",0.9286
Hermann Heiss,"frisch, max","hesse, hermann",0.9286
André Corthis,"lépidis, clément","corthis, andre",0.9286
Jean Rousset,"toland, john","rousselot, jean",0.9286
Emmanuel Kant,"spinoza, benedictus de","kant, immanuel",0.9286
D.H. Lawrence,Impressionism,"lawrence, d. h",0.9286
François Nau,justinian,"naudé, françois",0.9286
Leon de Modena,"מורטרה, שאול","modena, leone",0.9286
David Fränkel,"mendelssohn, moses","frankel, david",0.9286
